title,artist,spotify_id
PUFF JACKET (Feat. Kim Seungmin),Donutman,5dl5X5otPbAwMss6mNjDBH
Comfortable (feat. BLNK),Donutman,2AZQ8mXf3V0y8qrIuefokV
I Could Do Dead (feat. JUSTHIS),Dbo,6XQEZM1uwuHpsYLVEgYs73
Young CEO,Dbo,26ufPH76Z030Ea1c87hUdu
STICKY TOP (Feat. 양홍원),Dbo,5jH3gEMqXCzNzwe97iU5pe
One Hunnit,Dbo,3EVuHxRd8syOYUcPe0WQIk
I Know What I'm Doing,Dbo,5KGE9mqIl2rviurYiGqdNd
POP IT UP,Dbo,3D5i8oH4cCr0qktOZz5MG5
Championship,Dbo,5wBiRL4s1DxMQ1tsVsnaiU
Horse,Dbo,32ERc154apRqv3oe3n026R
Chojo,Dbobby,0rdeIeAEnbjoo3DAVJFsux
Peacock (feat. ZENE THE ZILLA),Dbo,6iCffi0f4iIe2lIPlMc5PP
Let it burn,Dbo,62fDbnnQajVJHibFLuHBQc
Early Money (Feat. Keith Ape),Dbo,54MgshTlySl2cp47rZOBuQ
홍길동 (Hong Gil-Dong),Dbo,7qhwOzOPNbrbpccPdFeJx9
반짝반짝,Dbo,34vMBrV1PDxkJkGsgF9rwp
RIP,Dbobby,6a5l1Tymkwgo3HweALeW9M
ROCKSTAR LIFESTYLE,Dbo,5NZfZJsyYEhdhEeeoMfpra
HERE,Dbo,24HBvf1Zqoi4bqaQbltytq
Real Purpose,Dbo,1h1TNivkHdNZ3fjUVRX4WJ
Space,Dbo,4EyBhLhjXPupgaLy7MCDE2
CHXPSTIX,Dbo,06OQBOkrs3ogINCR7GSx0n
HERE,Dbo,3xVZnJEoS5DD5tjgVppkRC
"세상에 (New World) (Feat. B-Free, Jeremy Quest)",Dbo,41A0H5MzVVt4DO8k9Q6Ii2
If You,Dbo,3EGeQgiJqUazpZlEka94EP
ROCKSTAR LIFESTYLE,Dbo,06Rs0WU2Csg9LSiDA7DBli
분홍 나비 (Ft. 원슈타인),Dbo,0uVKWY02DriPjFsu44jAz0
Gassed Up Cypher,Dbo,0Aaeiy3HPqzorZGeegetju
Real Die Fake Live,Dbo,3oBIEbMegAng0Tbwaz0OYh
FALLIN (Feat. 용용),D.Ark,6dRs7IYrqh5FTHJurw1sP9
Cold (Feat. SUPERBEE) (Prod. Way Ched),D.Ark,187yTccJjpINpPGWH1qtDy
Do My Best (Feat. Jessi) (Prod. Way Ched),D.Ark,7w115PrDV6KB1WrhQAtQsZ
GENIUS (Feat. CHANGMO),D.Ark,1NicxbS7NRiqclpy14WfCX
비밀 노래 (SECRET) (Feat. MELOH),D.Ark,3QFY5qZB5qXkyjMvY1vP0Z
1&ONLY,D.Ark,5F7nvuTnR20x6a3UyXetyv
119 LOVE,D.Ark,4t9TB4YMk2OKHPladyATtk
POTENTIAL,D.Ark,37l1sbhRO9lYT35XxFoBop
자살시도,D.Ark,11VIleaW8FRmNkKaOL9NKy
VV,D.Ark,4oncW4Jkjb4J99taLdQPKG
